WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
767.1,93.67,7.6,2134.0,-0.9,39.34,37.61
764.5,51.75,0.0,2134.0,-4.9,37.61,36.78
767.1,149.33,0.0,2159.0,-1.1,36.78,34.72
762.0,65.5,0.0,2134.0,1.5,34.72,33.18
762.0,166.54,0.0,2108.0,3.7,33.18,32.23
762.0,152.04,0.0,2057.0,4.6,32.23,31.72
767.1,88.38,12.7,2184.0,-3.1,31.72,33.13
767.1,184.25,0.0,2159.0,-4.1,33.13,33.91
762.0,115.04,0.0,2134.0,-1.3,33.91,31.72
762.0,131.58,0.0,2108.0,1.7,31.72,30.1
759.5,139.71,0.0,2083.0,0.5,30.1,29.72
759.5,167.5,0.0,2057.0,5.9,29.72,30.24
759.5,123.88,0.0,2032.0,5.0,30.24,31.28
762.0,44.62,2.5,2057.0,-1.8,31.28,33.53
762.0,149.33,0.0,2057.0,-1.6,33.53,33.48
756.9,187.71,0.0,2032.0,-1.5,33.48,30.48
756.9,180.79,0.0,2032.0,2.3,30.48,27.76
754.4,131.71,0.0,2007.0,1.1,27.76,25.51
754.4,212.58,0.0,2007.0,-2.4,25.51,24.17
762.0,150.42,5.1,2032.0,-1.0,24.17,23.71
762.0,77.71,2.5,2007.0,-3.0,23.71,24.2
762.0,129.83,0.0,2007.0,-0.3,24.2,23.03
762.0,177.33,0.0,2007.0,3.2,23.03,20.77
762.0,220.67,0.0,1981.0,2.4,20.77,19.33
762.0,142.12,0.0,1956.0,1.3,19.33,17.98
751.8,190.71,0.0,1930.0,2.6,17.98,17.06
746.8,212.21,0.0,1880.0,3.6,17.06,16.42
739.1,240.5,0.0,1854.0,3.2,16.42,16.23
734.1,233.75,0.0,1829.0,4.3,16.23,16.62
726.4,167.42,0.0,1829.0,0.7,16.62,17.23
721.4,163.62,0.0,1829.0,-1.3,17.23,17.71
718.8,112.54,5.1,1854.0,-3.4,17.71,16.98
716.3,118.62,0.0,1829.0,-2.9,16.98,16.25
711.2,82.21,2.5,1829.0,-1.9,16.25,15.09
729.0,135.96,7.6,1803.0,1.2,15.09,14.31
